89272	考	133	133	0.16807515	46.95509237
87460	別	134	134	0.16466364	47.11975601
87437	電	135	135	0.16462034	47.28437634
86944	代	136	136	0.16369215	47.44806849
86487	車	137	137	0.16283174	47.61090024
86069	神	138	138	0.16204476	47.77294500
84130	失	139	139	0.15839415	47.93133914
83825	新	140	140	0.15781991	48.08915905
83752	緒	141	141	0.15768247	48.24684153
82490	落	142	142	0.15530647	48.40214799
81913	正	143	143	0.15422013	48.55636812
81700	美	144	144	0.15381911	48.71018723
81152	開	145	145	0.15278737	48.86297461
80990	初	146	146	0.15248237	49.01545698
80761	確	147	147	0.15205122	49.16750820
80682	元	148	148	0.15190249	49.31941069
79684	夜	149	149	0.15002352	49.46943421
78577	野	150	150	0.14793934	49.61737355
78306	残	151	151	0.14742912	49.76480267
77833	関	152	152	0.14653859	49.91134126
77727	頼	153	153	0.14633902	50.05768028
77583	強	154	154	0.14606791	50.20374819
77062	面	155	155	0.14508700	50.34883519
76926	終	156	156	0.14483095	50.49366615
76405	界	157	157	0.14385005	50.63751619
75821	友	158	158	0.14275053	50.78026673
75580	配	159	159	0.14229680	50.92256353
75485	引	160	160	0.14211794	51.06468146
75453	命	161	161	0.14205769	51.20673915
75223	相	162	162	0.14162466	51.34836381
74209	近	163	163	0.13971557	51.48807939
74059	郎	164	164	0.13943316	51.62751255
73127	書	165	165	0.13767846	51.76519101
73115	士	166	166	0.13765586	51.90284687
72790	達	167	167	0.13704398	52.03989085
72783	撃	168	168	0.13703080	52.17692165
72458	警	169	169	0.13641891	52.31334056
72389	王	170	170	0.13628900	52.44962956
72059	調	171	171	0.13566770	52.58529726
71428	月	172	172	0.13447970	52.71977696
71172	法	173	173	0.13399772	52.85377468
70281	供	174	174	0.13232021	52.98609488
70093	安	175	175	0.13196625	53.11806114
70068	題	176	176	0.13191918	53.24998032
69747	止	177	177	0.13131483	53.38129515
69700	張	178	178	0.13122634	53.51252149
69643	伝	179	179	0.13111902	53.64364051
68845	始	180	180	0.12961660	53.77325712
68785	以	181	181	0.12950364	53.90276076
68779	込	182	182	0.12949234	54.03225310
68435	屋	183	183	0.12884468	54.16109778
67777	機	184	184	0.12760585	54.28870363
67611	社	185	185	0.12729331	54.41599695
67096	現	186	186	0.12632371	54.54232065
66866	向	187	187	0.12589068	54.66821133
66463	魔	188	188	0.12513194	54.79334327
66233	山	189	189	0.12469891	54.91804219
66178	道	190	190	0.12459536	55.04263755
65999	然	191	191	0.12425835	55.16689590
65986	身	192	192	0.12423388	55.29112978
65786	直	193	193	0.12385733	55.41498711
65556	業	194	194	0.12342430	55.53841141
65530	白	195	195	0.12337535	55.66178676
65472	空	196	196	0.12326615	55.78505291
65412	成	197	197	0.12315319	55.90820610
65313	木	198	198	0.12296680	56.03117290
65228	我	199	199	0.12280677	56.15397967
64989	口	200	200	0.12235679	56.27633646
64368	情	201	201	0.12118762	56.39752408
64237	起	202	202	0.12094098	56.51846506
63910	覚	203	203	0.12032533	56.63879039
63706	続	204	204	0.11994125	56.75873164
63483	逃	205	205	0.11952140	56.87825304
63458	呼	206	206	0.11947433	56.99772737
62985	願	207	207	0.11858380	57.11631118
62857	足	208	208	0.11834281	57.23465399
62814	任	209	209	0.11826185	57.35291584
62757	選	210	210	0.11815454	57.47107038
62373	太	211	211	0.11743157	57.58850195
62166	報	212	212	0.11704185	57.70554380
61296	水	213	213	0.11540387	57.82094767
61121	海	214	214	0.11507439	57.93602206
61013	他	215	215	0.11487106	58.05089311
60742	内	216	216	0.11436084	58.16525395
60153	笑	217	217	0.11325191	58.27850586
59885	件	218	218	0.11274734	58.39125319
59518	付	219	219	0.11205637	58.50330957
59489	返	220	220	0.11200177	58.61531134
59296	急	221	221	0.11163841	58.72694975
58687	守	222	222	0.11049182	58.83744157
58651	受	223	223	0.11042405	58.94786562
58532	兄	224	224	0.11020000	59.05806562
58468	乗	225	225	0.11007951	59.16814513
58241	主	226	226	0.10965213	59.27779725
57809	数	227	227	0.10883879	59.38663604
57794	息	228	228	0.10881055	59.49544659
57654	運	229	229	0.10854696	59.60399355
57271	定	230	230	0.10782588	59.71181943
56635	能	231	231	0.10662846	59.81844789
56603	平	232	232	0.10656821	59.92501610
56003	族	233	233	0.10543857	60.03045468
55769	由	234	234	0.10499802	60.13545269
55699	顔	235	235	0.10486622	60.24031892
55644	優	236	236	0.10476267	60.34508159
55151	婚	237	237	0.10383449	60.44891608
55142	多	238	238	0.10381754	60.55273362
54905	店	239	239	0.10337134	60.65610496
54880	重	240	240	0.10332427	60.75942923
54843	画	241	241	0.10325461	60.86268384
54755	飲	242	242	0.10308893	60.96577276
54085	絶	243	243	0.10182750	61.06760026
53620	頭	244	244	0.10095203	61.16855229
53241	嫌	245	245	0.10023847	61.26879076
53119	約	246	246	0.10000878	61.36879954
52786	料	247	247	0.09938183	61.46818137
52012	過	248	248	0.09792460	61.56610596
51766	奴	249	249	0.09746144	61.66356741
51727	組	250	250	0.09738802	61.76095543
51453	校	251	251	0.09687215	61.85782758
50909	消	252	252	0.09584794	61.95367552
50203	置	253	253	0.09451874	62.04819426
49896	負	254	254	0.09394074	62.14213499
49851	放	255	255	0.09385601	62.23599101
49700	係	256	256	0.09357172	62.32956273
49606	皆	257	257	0.09339475	62.42295748
49581	備	258	258	0.09334768	62.51630516
49519	天	259	259	0.09323095	62.60953610
49413	指	260	260	0.09303138	62.70256748
49272	記	261	261	0.09276591	62.79533340
49264	得	262	262	0.09275085	62.88808425
48582	村	263	263	0.09146683	62.97955108
48579	離	264	264	0.09146118	63.07101226
48447	買	265	265	0.09121266	63.16222492
48250	寝	266	266	0.09084176	63.25306668
48216	集	267	267	0.09077775	63.34384443
47997	状	268	268	0.09036543	63.43420986
47976	万	269	269	0.09032589	63.52453576
47845	原	270	270	0.09007926	63.61461501
47668	追	271	271	0.08974601	63.70436103
47297	飛	272	272	0.08904752	63.79340855
47208	証	273	273	0.08887996	63.88228851
47156	送	274	274	0.08878206	63.97107056
47052	犯	275	275	0.08858625	64.05965681
46851	危	276	276	0.08820782	64.14786463
